"country_id","country_name","country_code","region_id","region_name","continent_id","continent_name"
4,Afghanistan,AFG,30,Eastern Asia,142,Asia
8,Albania,ALB,39,Southern Europe,150,Europe
12,Algeria,DZA,15,Northern Africa,2,Africa
16,American Samoa,ASM,61,Polynesia,9,Oceania
20,Andorra,AND,39,Southern Europe,150,Europe
24,Angola,AGO,17,Middle Africa,2,Africa
660,Anguilla,AIA,29,Caribbean,419,Latin America and the Caribbean
28,Antigua and Barbuda,ATG,29,Caribbean,419,Latin America and the Caribbean
32,Argentina,ARG,5,South America,419,Latin America and the Caribbean
51,Armenia,ARM,145,Western Asia,142,Asia
533,Aruba,ABW,29,Caribbean,419,Latin America and the Caribbean
36,Australia,AUS,53,Australia and New Zealand,9,Oceania
40,Austria,AUT,155,Western Europe,150,Europe
31,Azerbaijan,AZE,145,Western Asia,142,Asia
44,Bahamas,BHS,29,Caribbean,419,Latin America and the Caribbean
48,Bahrain,BHR,145,Western Asia,142,Asia
50,Bangladesh,BGD,30,Eastern Asia,142,Asia
52,Barbados,BRB,29,Caribbean,419,Latin America and the Caribbean
112,Belarus,BLR,151,Eastern Europe,150,Europe
56,Belgium,BEL,155,Western Europe,150,Europe
84,Belize,BLZ,13,Central America,419,Latin America and the Caribbean
204,Benin,BEN,11,Western Africa,2,Africa
60,Bermuda,BMU,21,Northern America,21,Northern America
64,Bhutan,BTN,30,Eastern Asia,142,Asia
68,Bolivia (Plurinational State of),BOL,5,South America,419,Latin America and the Caribbean
535,"Bonaire, Saint Eustatius and Saba",BES,29,Caribbean,419,Latin America and the Caribbean
70,Bosnia and Herzegovina,BIH,39,Southern Europe,150,Europe
72,Botswana,BWA,18,Southern Africa,2,Africa
76,Brazil,BRA,5,South America,419,Latin America and the Caribbean
92,British Virgin Islands,VGB,29,Caribbean,419,Latin America and the Caribbean
96,Brunei Darussalam,BRN,35,South-Eastern Asia,142,Asia
100,Bulgaria,BGR,151,Eastern Europe,150,Europe
854,Burkina Faso,BFA,11,Western Africa,2,Africa
108,Burundi,BDI,14,Eastern Africa,2,Africa
116,Cambodia,KHM,35,South-Eastern Asia,142,Asia
120,Cameroon,CMR,17,Middle Africa,2,Africa
124,Canada,CAN,21,Northern America,21,Northern America
132,Cape Verde,CPV,11,Western Africa,2,Africa
136,Cayman Islands,CYM,29,Caribbean,419,Latin America and the Caribbean
140,Central African Republic,CAF,17,Middle Africa,2,Africa
148,Chad,TCD,17,Middle Africa,2,Africa
152,Chile,CHL,5,South America,419,Latin America and the Caribbean
156,China,CHN,30,Eastern Asia,142,Asia
344,"China, Hong Kong Special Administrative Region",HKG,30,Eastern Asia,142,Asia
446,"China, Macao Special Administrative Region",MAC,30,Eastern Asia,142,Asia
170,Colombia,COL,5,South America,419,Latin America and the Caribbean
174,Comoros,COM,14,Eastern Africa,2,Africa
178,Congo,COG,17,Middle Africa,2,Africa
184,Cook Islands,COK,61,Polynesia,9,Oceania
188,Costa Rica,CRI,13,Central America,419,Latin America and the Caribbean
384,CГґte d'Ivoire,CIV,11,Western Africa,2,Africa
191,Croatia,HRV,39,Southern Europe,150,Europe
192,Cuba,CUB,29,Caribbean,419,Latin America and the Caribbean
196,Cyprus,CYP,145,Western Asia,142,Asia
203,Czech Republic,CZE,151,Eastern Europe,150,Europe
408,Democratic People's Republic of Korea,PRK,30,Eastern Asia,142,Asia
180,Democratic Republic of the Congo,COD,17,Middle Africa,2,Africa
