vendor_name,vendor_country,vendor_city,vat_number
365games,United Kingdom of Great Britain and Northern Ireland,Chesterfield,GB928827970
Clifton Road Games,United Kingdom of Great Britain and Northern Ireland,Exeter,GB868282677
Games Lore,United Kingdom of Great Britain and Northern Ireland,Telford,GB775825289
Leisure Games,United Kingdom of Great Britain and Northern Ireland,Finchley,GB421400515
Orcs Nest,United Kingdom of Great Britain and Northern Ireland,London,
Noble Knight Games,United Kingdom of Great Britain and Northern Ireland,Fitchburg,
King Board Game,Netherlands,Amersfoort,NL861180616B01
HRAS,Czech Republic,Prague ,
Fungames,France,Lampertheim,
Fantasywelt,Germany,Eckernforde,
